uid,field,old_value,new_value,editor,date,notes
,PARCELNAME,OCEAN BAY APARTS. AND  PLAYGROUND,OCEAN BAY APARTMENTS AND  PLAYGROUND,,,
,PARCELNAME,IRT DYRE AVENUE LINE R.O.W,IRT DYRE AVENUE LINE RIGHT OF WAY,,,
,PARCELNAME,DEWITT CLINTON AND BRONX SCI HS'S,DEWITT CLINTON AND BRONX SCIENCE HIGH SCHOOLS,,,
,PARCELNAME,RUTH B. GINSBURG BROOKLYN MUNI BLDG,RUTH BADER GINSBURG BROOKLYN MUNICIPAL BUILDING,,,
,PARCELNAME,PIER BEACH CHNL DR AND B 87 ST,PIER BEACH CHANNEL DRIVE AND BEACH 87 ST,,,
,PARCELNAME,JOHN JAY PARK. AND  POOL,JOHN JAY PARK AND  POOL,,,
,PARCELNAME,P.D. 111TH PRECINCT STATION HOUSE,NYPD 111TH PRECINCT STATION HOUSE,,,
,PARCELNAME,PS 128 PLAYGROUND AND MINI-SCHL JOP,PS 128 PLAYGROUND AND MINI-SCHOOL JOINT OPERATED PLAYGROUND,,,
,PARCELNAME,EDGEMERE URA  (P/O 58 AND 59),EDGEMERE URBAN RENEWAL AREA  (PART OF SITES 58 AND 59),,,
,PARCELNAME,GEO WASHTN HOUSES/BLAKE HOBBS PARK,GEORGE WASHINGTON HOUSES/BLAKE HOBBS PARK,,,
,PARCELNAME,KINGSBOUGH COMM COLLEGE AND H.S,KINGSBOROUGH COMMUNITY COLLEGE AND LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,,,
,PARCELNAME,PS 31. PLAYGROUND DAVIS PLYGD,PS 31 AND DAVIS PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,ROY WILKINS-SOUTHERN QUEENS. PARK,ROY WILKINS SOUTHERN QUEENS PARK,,,
,PARCELNAME,PS 327/396 TANDEM SCH AND PGD(JOP),PS 327/396 TANDEM SCHOOL AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,BERNARD DOWNING PLAYGROUND LUTHER GU,BERNARD DOWNING/LUTHER GULICK PLAYGROUND,,,
,PARCELNAME,HAWKINS SITTING AREA/CTY IS PARK,HAWKINS SITTING AREA/CITY ISLAND PARK,,,
,PARCELNAME,PS 48 AND PLAYGROUND.(JOP),PS 48 AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,ROY WILKINS SOUTHERN QUEENS.PARK,ROY WILKINS SOUTHERN QUEENS PARK,,,
,PARCELNAME,ASSER LEVY PARK. AND  AQUARIUM,ASSER LEVY PARK AND AQUARIUM,,,
,PARCELNAME,WASHINGTON HGHTS (GPP 1 AND 2),WASHINGTON HEIGHTS REHAB (GROUPS 1 & 2),,,
,PARCELNAME,VERNON T AND T BLOCK ASSOC. GARDEN,T AND T VERNON BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,C. DREW ELC 3 AND T. JACKSON SC,C. DREW ELC 3 AND T. JACKSON SENIOR CENTER,,,
,PARCELNAME,P.D. 105TH PRECINCT STATION HOUSE,NYPD 105TH PRECINCT STATION HOUSE,,,
,PARCELNAME,IRT DYRE AVENUE LI NE R.O.W,IRT DYRE AVENUE LINE RIGHT OF WAY,,,
,PARCELNAME,PS 75 AND PLAYGROUND & MINI SCH,PS 75 AND PLAYGROUND AND MINI SCHOOL,,,
,PARCELNAME,PS 274  MINI SCHL AND PLAYGROUND,PS 274  MINI SCHOOL AND PLAYGROUND,,,
,PARCELNAME,GROVER CLEVELAND HS AND ATHL FLD,GROVER CLEVELAND HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,AREAS A AND B & FORMER SKLMANHATTAN AVENUE,AREAS A & B & FORMER SKLMN AVE,Amanda,Dec 22,fixing incorrect programmatic change
,PARCELNAME,THE CHRISTATION MCAULIFFE SCHOOL,THE CHRISTA MCAULIFFE SCHOOL,FvK,2025-04-08,fixing incorrect programmatic change
