bc,description,use,tc,model
W7,THEOLOGICAL SEMINARY,E05C,4,311
W8,OTHER PRIVATE SCHOOL,E04C,4,311
W9,MISC. EDUCATIONAL FACILITY,E00C,4,311
Y1,FIRE DEPARTMENT,G03C,4,312
Y2,POLICE DEPARTMENT,G02C,4,312
Y3,"PRISON, JAIL, HOUSE OF DETENTION",G04C,4,312
Y4,MILITARY AND NAVAL INSTALLATION,Z01C,4,312
Y5,DEPARTMENT OF REAL ESTATE,G00C,4,312
Y6,DEPARTMENT OF SANITATION,G00C,4,312
Y7,DEPARTMENT OF PORTS AND TERMINALS,G00C,4,312
Y8,DEPARTMENT OF PUBLIC WORKS,G00C,4,312
Y9,DEPARTMENT OF ENVIRONMENTAL PROTECTION,G00C,4,312
Z0,RES. TAX CLASS 1,Z99R,1,00
Z1,COURT HOUSE,G05C,4,313
Z2,PARKING PUBLIC AREA,P05C,4,313
Z3,POST OFFICE,G01C,4,313
Z4,FOREIGN GOVERNMENT,B00C,4,313
Z5,UNITED NATIONS,B01C,4,313
Z7,EASEMENT,Z20C,4,313
Z8,CEMETERY,Z04C,4,313
Z9,OTHER MISC.,Z99C,4,313
L1,LOFT; OVER 8 STORIES (MID MANH TYPE),F02C,4,220
L2,LOFT; FIREPROOF AND STORAGE TYPE W/O STORES,F02C,4,220
L3,LOFT; SEMIFIREPROOF,F02C,4,220
L8,LOFT; WITH RETAIL STORES OTHER THAN TYPE ONE,F02C,4,220
L9,MISC. LOFT,F02C,4,220
Z6,LAND UNDER WATER,Z01C,4,94
