CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050035003001,36005003500,BX39,3710,169
360050035003002,36005003500,BX39,3710,164
360050037001000,36005003700,BX39,3710,136
360050038001000,36005003800,BX09,3709,151
360050038001001,36005003800,BX09,3709,173
360050038001002,36005003800,BX09,3709,108
360050038001003,36005003800,BX09,3709,0
360050038001004,36005003800,BX09,3709,0
360050039001000,36005003900,BX39,3710,179
360050039001001,36005003900,BX39,3710,171
360050039002000,36005003900,BX39,3710,232
360050039002001,36005003900,BX39,3710,312
360050039003000,36005003900,BX39,3710,87
360050039003001,36005003900,BX39,3710,58
360050039003002,36005003900,BX39,3710,216
360050039004000,36005003900,BX39,3710,361
360050039005000,36005003900,BX39,3710,187
360050039005001,36005003900,BX39,3710,354
360050040011000,36005004001,BX55,3709,121
360050040011001,36005004001,BX55,3709,29
360050040011002,36005004001,BX55,3709,64
360050040011003,36005004001,BX55,3709,203
360050040011004,36005004001,BX55,3709,93
360050040011005,36005004001,BX55,3709,66
360050041001000,36005004100,BX39,3710,309
360050041001001,36005004100,BX39,3710,173
360050041001002,36005004100,BX39,3710,132
360050041002000,36005004100,BX39,3710,164
360050041002001,36005004100,BX39,3710,280
360050041002002,36005004100,BX39,3710,130
360050041003000,36005004100,BX39,3710,0
360050041003001,36005004100,BX39,3710,23
360050041004000,36005004100,BX39,3710,231
360050041004001,36005004100,BX39,3710,641
360050042001000,36005004200,BX09,3709,277
360050042001001,36005004200,BX09,3709,1
360050042002000,36005004200,BX09,3709,841
360050042002001,36005004200,BX09,3709,0
360050042003000,36005004200,BX09,3709,0
360050042003001,36005004200,BX09,3709,0
360050042003002,36005004200,BX09,3709,0
360050042003003,36005004200,BX09,3709,0
360050042003004,36005004200,BX09,3709,0
360050042003005,36005004200,BX09,3709,0
360050042003006,36005004200,BX09,3709,97
360050042003007,36005004200,BX09,3709,453
360050042004000,36005004200,BX09,3709,309
360050042004001,36005004200,BX09,3709,0
360050042005000,36005004200,BX09,3709,0
360050042005001,36005004200,BX09,3709,209
360050042005002,36005004200,BX09,3709,0
360050042005003,36005004200,BX09,3709,0
360050042005004,36005004200,BX09,3709,185
360050042006000,36005004200,BX09,3709,0
360050042006001,36005004200,BX09,3709,0
360050042006002,36005004200,BX09,3709,0
360050042006003,36005004200,BX09,3709,0
360050042007000,36005004200,BX09,3709,390
360050043001000,36005004300,BX39,3710,160
360050043001001,36005004300,BX39,3710,67
360050043001002,36005004300,BX39,3710,110
360050043002000,36005004300,BX39,3710,0
360050043002001,36005004300,BX39,3710,0
360050043002002,36005004300,BX39,3710,0
360050043002003,36005004300,BX39,3710,0
360050043002004,36005004300,BX39,3710,205
360050043002005,36005004300,BX39,3710,258
360050043002006,36005004300,BX39,3710,22
360050043002007,36005004300,BX39,3710,31
360050043002008,36005004300,BX39,3710,0
360050043002009,36005004300,BX39,3710,191
360050043003000,36005004300,BX39,3710,273
360050043003001,36005004300,BX39,3710,146
360050043004000,36005004300,BX39,3710,210
360050043004001,36005004300,BX39,3710,130
