OBJECTID,boro,bct2020,centract2020
368,Bronx,2023000,36005023000
369,Bronx,2023100,36005023100
370,Bronx,2023200,36005023200
371,Bronx,2023301,36005023301
372,Bronx,2023302,36005023302
373,Bronx,2023600,36005023600
374,Bronx,2023704,36005023704
375,Bronx,2023900,36005023900
376,Bronx,2024100,36005024100
377,Bronx,2024300,36005024300
378,Bronx,2024400,36005024400
379,Bronx,2024501,36005024501
380,Bronx,2024502,36005024502
381,Bronx,2024600,36005024600
382,Bronx,2024700,36005024700
383,Bronx,2024800,36005024800
384,Bronx,2024900,36005024900
385,Bronx,2025000,36005025000
386,Bronx,2025100,36005025100
387,Bronx,2025200,36005025200
388,Bronx,2025300,36005025300
389,Bronx,2025400,36005025400
390,Bronx,2025500,36005025500
391,Bronx,2025700,36005025700
392,Bronx,2026300,36005026300
393,Bronx,2026400,36005026400
394,Bronx,2026500,36005026500
395,Bronx,2026601,36005026601
396,Bronx,2026602,36005026602
397,Bronx,2026701,36005026701
398,Bronx,2026702,36005026702
399,Bronx,2027300,36005027300
400,Bronx,2027401,36005027401
401,Bronx,2027402,36005027402
402,Bronx,2027700,36005027700
403,Bronx,2027900,36005027900
404,Bronx,2028100,36005028100
405,Bronx,2028500,36005028500
406,Bronx,2028600,36005028600
407,Bronx,2028700,36005028700
408,Bronx,2028800,36005028800
409,Bronx,2028900,36005028900
410,Bronx,2029500,36005029500
411,Bronx,2029600,36005029600
412,Bronx,2030000,36005030000
413,Bronx,2030100,36005030100
414,Bronx,2030201,36005030201
415,Bronx,2030701,36005030701
416,Bronx,2030900,36005030900
417,Bronx,2031000,36005031000
418,Bronx,2031200,36005031200
419,Bronx,2031400,36005031400
420,Bronx,2031600,36005031600
421,Bronx,2031800,36005031800
422,Bronx,2031900,36005031900
423,Bronx,2032300,36005032300
424,Bronx,2032400,36005032400
425,Bronx,2032600,36005032600
426,Bronx,2032800,36005032800
427,Bronx,2033000,36005033000
428,Bronx,2033201,36005033201
429,Bronx,2033202,36005033202
430,Bronx,2033601,36005033601
431,Bronx,2033602,36005033602
432,Bronx,2033801,36005033801
433,Bronx,2033802,36005033802
434,Bronx,2034000,36005034000
435,Bronx,2034200,36005034200
436,Bronx,2034300,36005034300
437,Bronx,2034400,36005034400
438,Bronx,2034500,36005034500
439,Bronx,2034800,36005034800
440,Bronx,2035100,36005035100
441,Bronx,2035600,36005035600
442,Bronx,2035900,36005035900
443,Bronx,2036000,36005036000
444,Bronx,2036300,36005036300
445,Bronx,2036400,36005036400
446,Bronx,2036501,36005036501
447,Bronx,2036502,36005036502
448,Bronx,2036700,36005036700
449,Bronx,2036800,36005036800
450,Bronx,2036901,36005036901
451,Bronx,2036902,36005036902
452,Bronx,2037000,36005037000
453,Bronx,2037100,36005037100
454,Bronx,2037200,36005037200
455,Bronx,2037300,36005037300
456,Bronx,2037400,36005037400
457,Bronx,2037504,36005037504
458,Bronx,2037900,36005037900
459,Bronx,2038000,36005038000
460,Bronx,2038100,36005038100
461,Bronx,2038200,36005038200
462,Bronx,2038301,36005038301
463,Bronx,2038303,36005038303
464,Bronx,2038304,36005038304
465,Bronx,2038600,36005038600
466,Bronx,2038700,36005038700
467,Bronx,2038800,36005038800
468,Bronx,2039000,36005039000
469,Bronx,2039100,36005039100
470,Bronx,2039200,36005039200
471,Bronx,2039400,36005039400
472,Bronx,2039600,36005039600
473,Bronx,2039800,36005039800
474,Bronx,2040302,36005040302
475,Bronx,2040303,36005040303
476,Bronx,2040304,36005040304
477,Bronx,2040400,36005040400
478,Bronx,2040501,36005040501
479,Bronx,2040502,36005040502
480,Bronx,2040600,36005040600
481,Bronx,2040701,36005040701
482,Bronx,2040702,36005040702
483,Bronx,2040800,36005040800
