factype,rectype
MUNICIPAL PARKING - OUTDOOR PUBLIC,facility
"OTHER PREVENTION SERVICES-OASAS, MEDICALLY SUPERVISED OUTPATIENT-OASAS, PRIMARY PREVENTION SERVICES-OASAS, YOUTH CLUBHOUSE-OASAS",program
"SUPPORTED HOUSING-OMH, ASSERTIVE COMMUNITY TREATMENT-OMH",program
SECURITY,facility
SLUDGE DE-WATERING FACILITY,facility
OUTDOOR STORAGE - BULK MATERIAL,facility
CAMP - PRESCHOOL AGE,program
CRAFTS,program
FAMILY JUSTICE CENTER,program
SEAPLANE BASE,facility
NYCHA COMMUNITY CENTER - MANHATTAN PROPERTY MANAGEMENT,facility
INTAKE MEDICAL SERVICES,program
DROP-IN CENTERS,program
NEIGHBORHOOD EMPLOYMENT SERVICES,program
RAIL FACILITY,facility
"CRISIS INTERVENTION-OMH, NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH, OUTREACH-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
HOMEMAKER SERVICES-OPWDD,program
CEMETERY,facility
"K-8 SCHOOL - PUBLIC, SPECIAL EDUCATION",facility
SYEP MAP TO $UCCESS,program
WASTEWATER TREATMENT PLANT,facility
COMMUNITY SERVICES; FAMILY SUPPORT; HOUSING SUPPORT; IMMIGRANT SERVICES; JOBS AND INTERNSHIPS,program
LEAF,program
STATE FOREST,facility
JOBS PLUS,program
MOBILE ADOLESCENT THERAPY,program
DETENTION CENTER,facility
LEARN & EARN,program
ICM PLUS,program
WATER POLLUTION CONTROL PLANT,facility
NYCHA COMMUNITY CENTER - CARPENTRY STORAGE,facility
PEAK CENTERS,program
NYCHA COMMUNITY CENTER - STORAGE,facility
AIRPORT,facility
FIELD OFFICE,facility
TRANSITIONAL EMPLOYMENT-OPWDD,program
"ON-SITE REHABILITATION-OMH, VOCATIONAL SERVICES-OMH",program
SELF-HELP-OMH,program
"ADVOCACY SERVICES-OMH, VOCATIONAL SERVICES-OMH, HOME BASED CRISIS INTERVENTION-OMH, NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
MAINTENANCE,facility
HELIPORT,facility
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, VOCATIONAL REHABILITATION-OASAS, MEDICALLY MONITORED WITHDRAWAL-OASAS, MEDICALLY SUPERVISED WITHDRAWAL SERVICES OUTPATIENT-OASAS",program
PUBLIC PARK AND RIDE LOT,facility
"RECREATION-OPWDD, CASE MANAGEMENT-OPWDD, SUMMER CAMP-OPWDD",program
CAREGIVER SERVICES,program
NYCHA COMMUNITY CENTER - TA USE,facility
